ID,race,assigned,score,schoolpreferenceranking,schooltype
22324,1,112,611.8362209254,1,5
32026,1,78,611.2498943368,1,4
14552,1,201,610.8554824815,1,4
10126,1,112,610.7849101399,2,5
21491,1,112,610.6250372032,1,5
24093,1,120,610.4694212232,2,4
35778,1,112,610.3296647242,1,5
13360,1,112,610.3009412628,2,5
10365,0,54,610.1699477376,1,4
3866,1,210,610.1632150697,1,4
24944,1,112,610.0606081938,1,5
18003,1,112,609.9998451301,2,5
13664,1,112,609.8174921609,1,5
20306,0,143,609.465170441,1,4
24844,1,112,609.3678531818,1,5
13126,1,112,609.027104168,1,5
38419,1,112,608.9283854645,2,5
30130,1,112,608.9127767708,1,5
34779,1,112,608.6629389586,1,5
29514,1,112,608.4892957966,1,5
19054,1,208,608.3172198895,1,4
19510,0,179,608.3121528763,1,4
25202,1,112,608.0668953719,1,5
27272,1,112,608.0330983319,1,5
25433,1,95,607.9861990118,2,4
9767,1,112,607.8806480577,2,5
2283,1,112,607.7859318623,2,5
39239,1,114,607.6566280628,2,4
22379,1,8,607.6181118927,1,4
16004,1,112,607.5525322972,1,5
18447,1,112,607.4324501388,2,5
24397,1,156,607.2162995251,2,4
24290,1,112,607.1433247426,1,5
35719,1,156,607.1055088689,1,4
14895,1,112,607.0848527066,1,5
35849,1,95,607.0090395437,2,4
20392,1,114,606.6611867764,1,4
34997,1,112,606.6323531398,1,5
12352,1,112,606.6316180069,1,5
17941,1,112,606.6273809753,2,5
10389,1,162,606.6254826777,1,4
12704,1,112,606.4844721583,1,5
6702,0,95,606.4578258418,2,4
12954,1,112,606.3836585061,1,5
3718,1,78,606.0430080365,1,4
2216,1,112,605.9557552625,1,5
29071,1,155,605.7225802408,2,4
1316,1,205,605.5195279701,1,4
30231,1,95,605.5012865487,2,4
24702,1,179,605.469039067,2,4
18294,1,17,605.3457145584,1,4
28239,1,95,605.2399279706,1,4
9579,1,112,605.0782073019,1,5
31921,1,112,605.0405082885,1,5
1027,1,112,604.9968816217,1,5
18876,1,112,604.9579452643,2,5
11563,1,143,604.9197321383,2,4
2129,1,41,604.6814163008,2,4
13747,1,112,604.5532513579,1,5
3689,1,199,604.3754102737,1,4
28599,1,112,604.247466737,1,5
36816,0,54,604.0785512552,2,4
8498,1,76,603.9403023426,3,4
18507,1,186,603.8053812923,3,4
208,1,210,603.7050300018,3,4
17040,1,151,603.5954012822,2,4
26028,1,95,603.4840419902,1,4
29047,0,114,603.3600230121,3,4
2331,1,156,603.2925854397,2,4
38738,1,126,603.2688766783,2,4
5202,1,205,603.2649078189,2,4
35037,1,179,603.1903327182,2,4
24597,1,95,603.1504141073,1,4
12613,1,208,603.1326596294,2,4
14792,1,205,603.0541555087,3,4
796,0,78,603.0494257038,2,4
29402,1,17,602.8403334645,2,4
23409,1,120,602.5452396969,3,4
11695,1,105,602.524104822,1,4
4472,1,95,602.4736480766,2,4
10481,1,76,602.3362685368,2,4
849,1,199,602.2747492094,1,4
38858,1,15,602.2479778568,2,4
24028,0,151,602.1806338717,1,4
262,1,120,602.1602733337,3,4
29925,1,151,602.1385132673,3,4
15267,1,120,602.0980601556,3,4
4695,1,207,601.8605144432,2,4
14117,1,15,601.7999737013,2,4
23318,1,199,601.4938004651,1,4
6681,1,197,601.0928411236,1,4
3577,1,45,601.0665586438,1,4
10317,1,201,601.0327142989,2,4
30832,1,8,600.9957638768,2,4
18088,1,120,600.9633165878,1,4
6154,1,199,600.8242644889,3,4
14083,1,45,600.7567051343,2,4
12751,1,156,600.7130384897,3,4
10368,1,155,600.6969732302,2,4
28561,1,210,600.6386858122,2,4
4283,1,199,600.5789187871,2,4
25665,1,210,600.4259153373,2,4
32065,1,201,600.3815253373,2,4
23117,1,17,600.3646436827,3,4
39397,1,156,600.2683584364,3,4
7645,1,201,600.2608655239,3,4
16524,1,186,600.1367787945,2,4
4480,1,197,600.0729371748,1,4
3210,1,78,600.0693471346,3,4
23148,1,15,599.9774465228,3,4
23444,1,41,599.6947214161,1,4
11013,1,210,599.6898471811,3,4
21830,1,162,599.5245957571,3,4
27812,1,41,599.4772102957,1,4
34274,0,76,599.4484606348,2,4
3868,1,78,599.336781731,1,4
39041,1,114,599.3304191309,2,4
8080,1,105,599.1370580711,1,4
24328,1,114,599.1170602208,1,4
8976,1,95,599.044655983,3,4
28259,1,155,599.0402791389,2,4
35377,1,105,599.0090810337,1,4
18366,1,207,598.9479060023,2,4
34285,1,155,598.9255593024,3,4
39107,1,95,598.7504327287,2,4
37943,1,15,598.7452328305,2,4
6359,1,207,598.5464490156,3,4
9076,1,54,598.4088870656,3,4
29923,1,162,598.4082619605,2,4
12960,1,201,598.2477263768,3,4
22195,1,105,598.2154851594,1,4
39302,1,120,598.1634863434,2,4
7395,1,186,598.1326057083,2,4
9038,1,186,597.8822106928,1,4
13288,1,105,597.8330754925,2,4
30234,1,199,597.8253820414,3,4
18525,1,76,597.5830436727,2,4
23979,1,15,597.4879779283,1,4
8949,1,17,597.4574102257,1,4
7139,1,208,597.4529934017,2,4
8167,1,207,597.3811922394,2,4
38189,1,15,597.3735645722,1,4
27582,1,207,597.3560817428,2,4
24433,1,17,597.1493938352,2,4
28150,1,210,597.1433828484,2,4
16050,1,15,597.1332043724,3,4
8396,1,155,597.0830664823,3,4
858,0,179,597.0414622076,3,4
11005,1,54,597.0026121567,1,4
28142,1,197,596.8173109818,2,4
17683,1,126,596.7877012861,2,4
8816,1,197,596.7714700234,3,4
29553,1,95,596.6987446453,2,4
29701,1,17,596.6862496494,2,4
9587,1,186,596.5718043418,3,4
30505,1,126,596.3757607548,2,4
22512,1,143,596.2050501588,2,4
31814,1,197,596.1656564777,3,4
7134,1,105,596.1196641054,3,4
4720,1,17,596.1185166635,3,4
38288,1,162,596.105626429,2,4
37095,1,199,596.0704659386,1,4
26137,1,156,596.0004837889,1,4
18150,1,201,595.9499414491,1,4
34896,1,17,595.9039755519,3,4
17799,1,105,595.8675439713,3,4
4445,0,155,595.861948207,2,4
4796,1,199,595.783934322,2,4
25802,1,17,595.6687260845,2,4
3501,1,76,595.6383448165,3,4
15737,1,155,595.6310914955,2,4
1927,1,143,595.5967965418,2,4
37235,1,197,595.5205223931,1,4
15503,0,41,595.5202911407,2,4
37183,1,205,595.4405750889,3,4
19882,0,179,595.4399752253,2,4
28914,1,114,595.4258047557,2,4
20759,1,105,595.1851132896,3,4
20,1,78,595.1786990854,3,4
32296,1,41,595.1390418466,1,4
25941,1,105,595.1184684026,2,4
23037,1,143,594.8761798579,1,4
30765,1,120,594.8737492712,2,4
20997,1,199,594.8601502549,2,4
8902,1,199,594.7113322034,3,4
29321,1,156,594.6270426091,2,4
17166,1,45,594.4621991841,3,4
27634,1,8,594.2333501834,3,4
14039,1,41,594.1259542142,2,4
22231,1,8,594.1215388675,2,4
19966,1,205,594.0893767376,3,4
39416,1,207,594.0364033522,2,4
3069,1,95,594.0192772802,1,4
28578,1,155,593.9106410636,3,4
3966,1,17,593.8955134531,3,4
24314,1,76,593.8305213701,2,4
1062,1,186,593.8003070293,3,4
16605,1,120,593.7596899178,1,4
13120,1,78,593.7504342105,2,4
2180,1,208,593.7291109898,2,4
12590,1,199,593.6909922978,3,4
869,1,179,593.6787820372,3,4
12833,0,151,593.6728878867,1,4
191,1,201,593.5315915039,2,4
24650,1,197,593.4836561596,2,4
37229,1,162,593.4474435562,1,4
2011,1,186,593.3579877881,3,4
25782,0,95,593.325509164,3,4
746,0,95,593.2667455651,3,4
30096,1,45,593.2549163658,1,4
27105,1,155,593.1133427408,1,4
32539,1,120,593.0789032176,1,4
14783,1,197,593.0663421135,2,4
19963,1,8,592.9846648948,2,4
6692,1,105,592.9354706782,2,4
18990,1,8,592.884108763,2,4
12235,1,205,592.8041337065,2,4
26014,0,162,592.758662452,1,4
6850,1,143,592.6448730517,2,4
18333,0,54,592.601504664,3,4
11806,1,162,592.5374526932,2,4
5656,1,17,592.5025115145,2,4
6906,0,114,592.4509544547,2,4
14233,0,156,592.327857543,3,4
13939,1,8,592.2806189668,1,4
8635,1,156,592.2556973651,2,4
21702,1,162,592.1836463496,2,4
29929,1,210,592.1658753056,2,4
20104,1,179,592.133639471,2,4
10894,0,143,592.0638322648,2,4
353,1,78,592.0616853665,2,4
30599,1,78,592.0160753814,1,4
6319,1,156,591.939267349,2,4
30713,1,156,591.6960066505,2,4
2229,1,76,591.6702110453,2,4
31259,1,179,591.6333689587,3,4
34826,1,207,591.5211754644,1,4
3349,1,156,591.5148756064,2,4
36924,1,15,591.3193527511,2,4
9927,1,76,591.2586594834,2,4
7143,1,120,591.1657828965,2,4
11190,1,208,591.1593100227,1,4
7380,1,151,591.1266982428,2,4
23126,1,162,590.7305667288,2,4
39233,1,76,590.7079301976,2,4
6668,1,8,590.5606095269,3,4
30555,1,120,590.5203023603,2,4
13457,1,114,590.1568774269,2,4
25933,1,105,590.1376903287,3,4
20701,1,8,590.0256599949,2,4
19265,0,114,589.8401344997,1,4
38892,1,156,589.7470009655,3,4
16062,1,151,589.7037044638,2,4
34800,1,95,589.6412753676,2,4
5457,1,199,589.5937595045,3,4
30511,1,45,589.5405456419,2,4
9852,1,210,589.528042734,3,4
39935,1,179,589.4921291314,1,4
36246,1,201,589.4905695302,2,4
6568,1,54,589.2017869856,2,4
30428,1,8,589.1309940375,2,4
16970,1,179,589.1291107109,1,4
38369,1,54,589.0007192347,3,4
575,1,8,588.9185349369,3,4
38872,1,78,588.8487590002,2,4
36182,1,17,588.8206022545,1,4
26352,1,210,588.7628364802,2,4
31715,1,186,588.7066763259,1,4
124,1,197,588.7008353427,1,4
7807,0,17,588.6580151194,3,4
36781,1,205,588.535891491,2,4
20216,1,151,588.5198599969,1,4
1946,1,143,588.3061833152,2,4
29115,1,151,588.2149819142,3,4
22005,1,54,588.1539924081,2,4
38313,1,199,588.1429613921,2,4
100,1,155,587.9802854547,3,4
1903,1,120,587.9765832044,2,4
21334,1,197,587.9340781519,2,4
482,1,15,587.9211842256,1,4
12249,1,197,587.8696492453,3,4
25165,1,143,587.8193858268,3,4
12767,0,78,587.797860331,3,4
31474,1,156,587.6249422769,2,4
37758,1,8,587.6111722684,2,4
10496,1,156,587.6098022233,1,4
18282,1,207,587.5497834403,1,4
28186,1,114,587.5154081784,1,4
29398,1,155,587.4835866122,1,4
2333,0,126,587.4449181647,3,4
22333,1,201,587.3840880382,2,4
12316,1,162,587.3183085394,3,4
16117,1,201,587.235032855,1,4
35248,0,156,587.2109472789,2,4
13276,1,205,587.1784301825,2,4
20739,1,199,587.1685025995,2,4
39446,1,76,587.0596445054,1,4
11394,1,120,586.9983598811,2,4
4906,1,76,586.9755178715,3,4
8531,1,197,586.9083438363,3,4
20716,1,205,586.8475826018,3,4
11819,1,210,586.8004192551,2,4
21502,1,76,586.7537378442,3,4
28266,1,208,586.6784281125,3,4
24723,1,207,586.6301635053,2,4
18824,1,201,586.5689766225,1,4
23675,0,151,586.4894973465,3,4
13362,1,205,586.3369975115,2,4
4041,1,8,586.2273489165,3,4
33943,1,143,586.163222247,2,4
33451,1,197,586.1084326222,2,4
26924,1,120,586.0323595944,2,4
26379,1,41,585.9455322591,3,4
4354,0,155,585.9302042098,2,4
28424,1,186,585.9126601352,2,4
12450,1,95,585.8241933958,3,4
10576,1,186,585.8117736267,3,4
627,1,76,585.8082179537,1,4
5995,1,45,585.7660262972,2,4
35054,1,205,585.6662983794,2,4
28717,1,78,585.58875943,2,4
16728,1,197,585.5104049367,3,4
37097,1,207,585.4283308925,2,4
10598,1,197,585.388884366,2,4
5444,1,78,585.3136533923,1,4
510,1,54,585.3057101731,3,4
20377,1,197,585.1912284854,2,4
20723,1,201,585.062446224,1,4
11640,1,201,585.0326969793,3,4
26090,1,95,585.0324737198,2,4
1240,1,45,584.9781095541,3,4
12307,1,186,584.9075043842,3,4
13704,1,210,584.7998341495,3,4
38768,1,95,584.7853410187,2,4
13101,1,151,584.7571514321,3,4
11296,1,45,584.7464767796,2,4
20371,1,143,584.6563802848,2,4
2483,1,76,584.6439927897,2,4
11104,1,199,584.54202163,3,4
10764,0,197,584.4842068691,2,4
26468,1,199,584.4307722577,3,4
28269,1,143,584.4241056471,1,4
18345,1,197,584.297282906,1,4
34539,1,8,584.2447124085,2,4
20775,1,208,584.1907531221,2,4
16199,1,210,584.1668381579,3,4
12426,1,186,584.1230549711,2,4
2394,0,197,584.0807599213,3,4
9291,1,105,584.0683994557,3,4
26480,1,105,584.0583220914,3,4
19033,1,143,584.0059898919,1,4
19398,1,78,583.9634687529,2,4
21832,1,205,583.9230435515,1,4
35014,1,45,583.922034168,3,4
35428,0,199,583.9125852244,2,4
28797,1,201,583.8971581303,3,4
19146,1,162,583.8644595511,2,4
4660,1,156,583.8616908829,1,4
38421,1,208,583.8384742254,2,4
13290,1,162,583.7628497697,3,4
39299,1,197,583.7491408673,3,4
32946,1,151,583.6542455517,1,4
38058,1,199,583.6383178086,1,4
22691,1,197,583.6125917145,3,4
2411,1,208,583.5488128568,2,4
9759,1,201,583.5347849679,1,4
31917,0,210,583.5033063289,3,4
10514,1,120,583.4553608389,2,4
14337,1,76,583.3312276638,2,4
35864,1,45,583.3293678184,2,4
17472,1,199,583.1469769449,2,4
17759,1,114,583.1059458019,3,4
4324,1,208,583.0569121624,2,4
22546,1,210,583.0044396334,2,4
26566,1,105,582.9715431005,1,4
14173,1,210,582.9557288762,3,4
34999,1,143,582.9305781097,2,4
26918,1,54,582.8902354092,2,4
9082,1,114,582.7807799792,3,4
16438,1,201,582.7351024856,2,4
15300,1,114,582.7134481401,2,4
30215,1,207,582.6818371036,2,4
14171,1,15,582.6782514887,1,4
36348,1,41,582.6681126798,1,4
2831,1,155,582.5281893113,3,4
37352,1,210,582.4433345261,2,4
25877,1,197,582.4060501951,1,4
8846,1,162,582.3968817872,3,4
29542,1,126,582.3942032268,2,4
32331,1,143,582.3626454939,2,4
26660,1,143,582.3194318527,1,4
14378,1,41,582.2064647477,2,4
28325,1,45,582.2043022425,2,4
16829,0,15,582.2028126723,1,4
35349,1,210,582.1938017597,2,4
14956,1,41,582.1590224397,1,4
312,1,120,582.1117738126,2,4
22867,1,78,582.0636205295,2,4
7677,1,126,581.961997923,3,4
36190,1,208,581.8937314861,1,4
29275,1,78,581.8624084031,3,4
38657,1,105,581.8186834823,2,4
10440,1,41,581.8127672202,2,4
3533,1,114,581.7665227821,1,4
39870,1,179,581.7517964705,3,4
4043,1,207,581.6626126852,2,4
8900,1,205,581.6251996969,3,4
13608,1,95,581.5859068143,3,4
3993,1,15,581.5619187711,2,4
16718,0,105,581.5335053709,3,4
15745,1,205,581.4454085633,3,4
3744,1,15,581.4293794487,1,4
12874,1,208,581.2194021267,1,4
26813,1,126,581.1913144934,3,4
33285,1,126,581.1780110679,3,4
38533,1,105,581.1748881754,1,4
25437,1,15,581.1521925808,3,4
25766,1,41,581.0805098992,2,4
16154,1,205,581.080190621,2,4
3422,1,120,580.9927349839,2,4
21193,1,199,580.8804741752,2,4
26221,1,162,580.8731576404,2,4
10240,1,186,580.8455030038,3,4
19829,1,41,580.826992575,3,4
26272,1,76,580.8171529569,1,4
2363,1,179,580.7415805624,3,4
18782,0,210,580.7395287239,2,4
15162,1,45,580.7251090669,1,4
15153,1,208,580.6609333131,2,4
38097,1,151,580.6066399937,1,4
38888,1,126,580.5876832069,2,4
4273,1,95,580.4935550255,2,4
3355,0,162,580.4888880755,2,4
6331,1,186,580.460150564,2,4
6377,1,15,580.3923314883,2,4
27008,1,76,580.2939091947,1,4
29377,1,151,580.1913274805,2,4
39639,1,8,580.1479115502,3,4
37662,1,54,580.1196378396,2,4
32691,1,156,580.1103010665,3,4
25895,1,126,580.0882074452,2,4
1410,1,143,580.0760868757,2,4
36112,1,76,580.0554118273,2,4
4430,1,54,580.022912043,1,4
37017,1,197,580.0123228913,3,4
8550,1,95,579.9968892061,2,4
23146,1,41,579.8798198558,2,4
3123,1,201,579.83802116,3,4
26861,1,78,579.8159445179,4,4
19439,1,179,579.805049553,2,4
16846,1,201,579.7836007522,2,4
22672,1,105,579.7488805203,2,4
28390,1,162,579.7401234453,3,4
17667,1,201,579.7378458784,3,4
38573,0,210,579.6882521931,2,4
31899,1,15,579.6489605955,3,4
9180,1,210,579.5873588282,2,4
18731,1,114,579.515795148,2,4
10507,1,15,579.4840743263,2,4
16966,1,210,579.473808747,2,4
2804,0,208,579.4350258305,2,4
36784,1,155,579.3703121251,1,4
4491,0,151,579.3674189457,1,4
25203,1,201,579.3674115249,1,4
8338,0,155,579.3609838236,2,4
18944,1,197,579.3311331062,3,4
17928,1,8,579.3247744053,1,4
29388,1,54,579.3061418504,2,4
37512,1,197,579.2780491503,1,4
19660,1,54,579.258020803,2,4
7927,1,41,579.2398942641,1,4
7120,1,201,579.2326213917,2,4
22482,1,186,579.1714709164,3,4
6697,0,156,579.1223207366,3,4
28030,0,45,579.1204367155,3,4
25400,1,210,579.0991422249,3,4
20686,1,162,579.0667788484,2,4
22699,1,151,579.0456808763,2,4
5888,1,205,579.0236078396,2,4
12850,1,15,578.968333408,3,4
26001,1,78,578.8537719311,3,4
25731,1,186,578.7867126316,3,4
12803,1,54,578.7077227893,2,4
15383,1,114,578.7069807333,2,4
37344,1,210,578.6735691291,2,4
23723,1,95,578.6551124691,2,4
6629,0,143,578.6179467727,2,4
19879,1,162,578.4695193297,3,4
30988,1,114,578.3576941163,1,4
38690,1,143,578.1324757515,1,4
12294,1,54,578.0870014966,1,4
31707,1,15,578.0778103532,2,4
34868,0,151,577.9972654318,3,4
16551,1,105,577.977530652,3,4
22934,1,41,577.9451279957,3,4
28950,1,105,577.9288189211,2,4
30774,1,205,577.8791440765,1,4
5697,0,197,577.855558936,3,4
10292,1,208,577.7190072713,3,4
25889,1,120,577.6640427879,1,4
14523,1,45,577.6524871843,1,4
13490,1,186,577.6359434811,4,4
5856,1,199,577.5556450876,3,4
27792,1,151,577.545242264,1,4
11615,1,41,577.5372913834,1,4
28211,1,105,577.5311333598,2,4
10482,1,15,577.460400614,1,4
7965,1,120,577.4423761502,2,4
35793,1,143,577.4402861983,2,4
26770,1,45,577.4320144122,4,4
6499,1,78,577.428549856,2,4
5066,1,54,577.4221095104,2,4
37392,1,114,577.3750229127,1,4
35538,1,95,577.3518133859,1,4
18346,1,105,577.3254053122,3,4
25840,1,162,577.2681893633,2,4
39878,1,208,577.1874392536,2,4
7682,1,105,577.1733104618,2,4
1268,1,95,577.1625505871,1,4
22367,1,207,577.1341777346,3,4
32481,1,155,577.1175392894,2,4
7190,1,151,577.0223819117,2,4
16229,1,54,576.9623269376,2,4
35357,1,197,576.8448065106,3,4
20048,1,143,576.8319187421,3,4
21326,1,41,576.80482769,2,4
30117,1,210,576.7898379369,3,4
39170,1,155,576.7786007306,3,4
12322,1,105,576.7720151749,3,4
38043,1,78,576.7607455572,1,4
10781,1,199,576.7545910838,2,4
9565,1,41,576.7063880293,2,4
37146,1,120,576.6664021274,2,4
23840,1,78,576.6014640668,1,4
3794,1,199,576.5943962789,2,4
13566,0,78,576.5284780846,2,4
10873,1,76,576.5092628414,3,4
21024,1,143,576.4604985236,1,4
32301,1,186,576.4602218316,2,4
9812,1,179,576.4562862172,3,4
7904,1,156,576.4355001631,2,4
13238,1,95,576.4051674724,2,4
8890,1,41,576.2995479102,3,4
38476,1,208,576.2669130525,2,4
33282,1,143,576.2633265183,1,4
11823,1,151,576.2075554765,2,4
9300,1,45,576.2054054205,2,4
10935,1,210,576.1921389234,2,4
13257,1,105,576.1910453036,2,4
284,1,15,576.1808269612,2,4
22326,1,156,576.1779167507,1,4
24465,1,114,576.1629245555,2,4
700,1,95,576.1011165562,3,4
22974,1,105,576.0386352468,2,4
33412,1,76,575.9446084375,3,4
25029,1,199,575.9104451053,3,4
5345,1,45,575.6874665957,1,4
5678,1,41,575.6493306577,1,4
20509,1,54,575.6407325641,2,4
21237,1,156,575.6043946356,3,4
30873,1,120,575.5741640518,1,4
15664,0,78,575.540450341,3,4
14322,1,54,575.4126379529,3,4
1490,1,210,575.3547871463,1,4
15139,1,207,575.345030892,3,4
21441,1,155,575.3024405338,1,4
28855,1,76,575.3011608968,2,4
11049,1,208,575.2690318067,2,4
17512,1,151,575.2638222358,2,4
38704,1,199,575.2557374441,1,4
8075,1,41,575.237267326,1,4
512,0,45,575.2206065516,3,4
11131,1,143,575.1783671511,3,4
33067,1,199,575.1719855521,2,4
22614,1,162,575.1612266797,3,4
38055,1,54,575.1461554428,3,4
4700,1,156,575.1367039711,4,4
12965,1,210,575.1039493249,2,4
5347,1,41,575.0825769404,2,4
4519,1,210,575.074580013,1,4
5470,1,15,575.0579970055,2,4
21210,1,199,575.0139596739,3,4
22855,1,114,574.9840718311,3,4
13602,1,207,574.9605981863,1,4
29030,1,151,574.8231531192,3,4
1023,1,208,574.8197739193,3,4
26082,1,201,574.8184046047,2,4
36751,1,162,574.8136175699,2,4
3354,1,45,574.7998061813,2,4
29299,1,199,574.6709612427,2,4
33404,1,95,574.6369327141,1,4
12110,1,8,574.6221447967,3,4
11051,1,8,574.6001414918,1,4
33848,1,210,574.5724905396,2,4
36231,1,45,574.5713685372,3,4
22808,1,95,574.541752876,2,4
27548,0,205,574.5305811834,2,4
22034,0,45,574.5254014057,2,4
28736,1,156,574.4496252996,1,4
12427,1,143,574.3972918506,2,4
20132,1,95,574.389689347,2,4
10060,1,208,574.3883864489,2,4
11789,1,45,574.3813600401,2,4
15736,1,8,574.3772691603,2,4
20250,1,95,574.3588078622,1,4
34426,1,207,574.266845394,3,4
27602,1,105,574.2659413167,4,4
11411,1,207,574.208687855,3,4
35268,1,197,574.1712251325,2,4
9142,1,78,574.1414377944,3,4
7207,1,207,574.1322163017,2,4
7679,1,156,574.1143347123,2,4
20961,1,205,574.0626045485,3,4
33636,1,41,574.0315677371,3,4
34212,1,45,574.0073071832,2,4
26602,1,208,573.9380231911,2,4
4794,1,186,573.8765738195,2,4
6338,1,155,573.863240001,1,4
17265,1,78,573.8304304365,3,4
15502,1,143,573.822297024,3,4
20713,1,143,573.7649616008,2,4
32560,1,105,573.7559175016,1,4
19982,1,207,573.7454970544,2,4
36972,1,8,573.6847199362,2,4
28557,1,54,573.6171067013,2,4
6532,1,76,573.6034183658,2,4
33747,1,155,573.5602819441,1,4
30347,1,8,573.5362104069,3,4
4281,1,201,573.5021829737,3,4
37622,1,105,573.4954536092,1,4
25389,1,207,573.4663752289,2,4
17473,0,78,573.4409973292,2,4
3433,0,207,573.4342413445,1,4
39869,0,95,573.4260044866,2,4
17454,1,54,573.4129063196,2,4
22803,1,15,573.3136506826,4,4
32793,1,201,573.2564661924,2,4
8712,1,45,573.2425666528,2,4
15668,1,105,573.2407389168,3,4
28819,0,162,573.2340306269,1,4
33913,1,151,573.2096616063,1,4
26118,1,151,573.0701256462,3,4
30792,1,208,572.9827119672,1,4
3327,0,155,572.9495483997,2,4
6068,1,151,572.9282661132,4,4
7403,1,205,572.8833735088,2,4
1735,1,199,572.8785972515,2,4
11420,1,76,572.8644154886,2,4
23265,1,197,572.8480405312,2,4
32860,1,78,572.7968849033,1,4
16815,1,114,572.7440495419,2,4
10191,1,76,572.727820715,2,4
606,1,208,572.7253959451,1,4
35597,1,95,572.6666544854,1,4
4596,1,143,572.5975711106,1,4
12223,1,199,572.5772003664,3,4
23376,0,120,572.5353559078,3,4
31785,1,15,572.4258373294,2,4
33889,1,205,572.400673809,4,4
11609,1,186,572.3655668835,2,4
16545,1,41,572.3315499107,3,4
20535,1,208,572.2961105251,2,4
24669,1,155,572.2653148561,2,4
4211,1,155,572.2352364431,2,4
27467,1,201,572.1190433309,1,4
34137,0,105,572.0779644346,2,4
29359,1,76,572.0705227836,1,4
10488,1,156,572.0585484886,3,4
30358,1,120,572.0546454308,3,4
